z,src,dest,satellite,probability,energy_eV
4,4,1,0,1.0,108.75805915184185
5,4,1,0,1.0,183.40856129156765
6,4,1,0,1.0,277.3695468302007
7,4,1,0,1.0,392.35502352246743
8,4,1,0,1.0,524.9118858302273
9,4,1,0,1.0,676.7695820584046
9,4,1,1,0.35,680.4840144517
9,4,1,2,0.3,681.2317990829655
11,7,1,0,0.05,1067.2265221804817
11,4,1,1,0.03,1047.4291411092315
11,4,1,3,0.1,1050.2684238297309
11,4,1,4,0.1,1051.9615427888996
11,4,1,5,0.02,1058.156417454124
11,4,1,6,0.01,1060.9634385854845
12,7,1,0,0.05,1295.5776237026867
12,4,1,1,0.02,1258.9975216224834
12,4,1,3,0.08,1262.0797189794143
12,4,1,4,0.08,1264.142485326427
13,4,1,0,1.0,1486.738608008544
13,3,1,0,0.5,1486.3126405805476
13,7,1,0,0.05,1553.3167219972652
13,4,1,1,0.02,1492.932800221316
13,4,1,3,0.08,1496.1828886420376
13,4,1,4,0.04,1499.0827518580684
14,4,1,0,1.0,1740.0263764535946
14,3,1,0,0.5,1739.4185312819568
14,7,1,0,0.05,1829.214922294183
14,4,1,3,0.06,1751.9883708683444
14,4,1,4,0.03,1754.5246674199782
15,4,1,0,1.0,2013.7110188906888
15,3,1,0,0.5,2012.730315472398
15,7,1,0,0.05,2136.2587861935235
15,4,1,3,0.05,2027.001591286374
15,4,1,4,0.05,2029.5963932926331
16,4,1,0,1.0,2307.901987898717
16,3,1,0,0.5,2306.6997230323523
16,7,1,0,0.07,2464.110569860476
16,4,1,3,0.45,2321.4665194925024
16,4,1,4,0.45,2324.347598644577
17,4,1,0,1.0,2622.449922439607
17,3,1,0,0.5,2620.842315790469
17,5,4,0,1.0,182.5982141871866
17,5,3,0,1.0,184.14404787331014
17,4,1,3,0.04,2631.801898388871
17,4,1,4,0.04,2640.393967912986
18,4,1,0,1.0,2957.779174414326
18,3,1,0,0.5,2955.7061327543474
18,5,4,0,1.0,220.2205815863228
18,5,3,0,1.0,221.79639970143063
19,4,1,0,1.0,3313.844748839999
19,3,1,0,0.5,3311.101280093463
19,5,4,0,1.0,259.7071374803094
19,5,3,0,1.0,262.45594291511367
19,4,1,3,0.03,3332.370785171739
19,4,1,4,0.03,3336.0559945835917
20,4,1,0,1.0,3691.7745536730317
20,3,1,0,0.5,3688.1834401188617
20,8,3,0,0.1,344.9754797804667
20,5,4,0,0.01,302.6957701003411
20,5,3,0,0.01,306.43644941448275
20,4,1,3,0.02,3711.95694278665
20,4,1,4,0.02,3715.627929295161
21,4,1,0,1.0,4090.672322844691
21,3,1,0,0.5,4086.2233021257575
21,8,3,0,0.1,399.6911264767882
21,5,4,0,0.01,348.36804561140684
21,5,3,0,0.01,352.9296539513228
22,4,1,0,1.0,4510.960026818157
22,3,1,0,0.5,4504.977451641609
22,8,3,0,0.1,458.3518943922356
22,5,4,0,0.01,395.3577405392211
22,5,3,0,0.01,401.37321927193176
23,4,1,0,1.0,4952.315400194113
23,3,1,0,0.5,4944.770534705538
23,8,3,0,0.1,519.1967647952249
23,5,4,0,0.01,446.4680858231895
23,5,3,0,0.01,453.4900783946588
24,4,1,0,1.0,5414.866027562551
24,3,1,0,0.5,5405.6351094170195
24,8,3,0,0.2,582.9063819139619
24,5,4,0,0.01,500.33973943946614
