z,shell,width (eV)
10,1,0.24
10,2,0.1
10,3,0
10,4,0
11,1,0.3
11,2,0.2
11,3,0
11,4,0
12,1,0.36
12,2,0.41
12,3,0.001
12,4,0.001
13,1,0.42
13,2,0.73
13,3,0.004
13,4,0.004
14,1,0.48
14,2,1.03
14,3,0.015
14,4,0.014
15,1,0.53
15,2,1.26
15,3,0.032
15,4,0.033
16,1,0.59
16,2,1.49
16,3,0.054
16,4,0.054
17,1,0.64
17,2,1.58
17,3,0.083
17,4,0.087
18,1,0.68
18,2,1.63
18,3,0.126
18,4,0.128
19,1,0.74
19,2,1.92
19,3,0.152
19,4,0.156
20,1,0.81
20,2,2.07
20,3,0.17
20,4,0.17
21,1,0.86
21,2,2.21
21,3,0.19
21,4,0.19
22,1,0.94
22,2,2.64
22,3,0.24
22,4,0.22
23,1,1.01
23,2,2.41
23,3,0.26
23,4,0.24
24,1,1.08
24,2,2.54
24,3,0.29
24,4,0.27
25,1,1.16
25,2,2.62
25,3,0.34
25,4,0.32
26,1,1.25
26,2,2.76
26,3,0.37
26,4,0.36
27,1,1.33
27,2,2.79
27,3,0.43
27,4,0.43
28,1,1.44
28,2,2.89
28,3,0.52
28,4,0.48
29,1,1.55
29,2,3.06
29,3,0.62
29,4,0.56
30,1,1.67
30,2,3.28
30,3,0.72
30,4,0.65
31,1,1.82
31,2,3.38
31,3,0.83
31,4,0.76
32,1,1.96
32,2,3.53
32,3,0.95
32,4,0.82
33,1,2.14
33,2,3.79
33,3,1.03
33,4,0.94
34,1,2.33
34,2,3.94
34,3,1.13
34,4,1
35,1,2.52
35,2,4.11
35,3,1.21
35,4,1.08
36,1,2.75
36,2,4.28
36,3,1.31
36,4,1.17
37,1,2.99
37,2,4.44
37,3,1.43
37,4,1.27
38,1,3.25
38,2,4.67
38,3,1.54
38,4,1.39
39,1,3.52
39,2,4.71
39,3,1.65
39,4,1.5
40,1,3.84
40,2,4.78
40,3,1.78
40,4,1.57
41,1,4.14
41,2,3.94
41,3,1.87
41,4,1.66
42,1,4.52
42,2,4.25
42,3,1.97
42,4,1.78
43,1,4.91
43,2,4.36
43,3,2.08
43,4,1.91
44,1,5.33
44,2,4.58
44,3,2.23
44,4,2
45,1,5.77
45,2,4.73
45,3,2.35
45,4,2.13
46,1,6.24
46,2,4.93
46,3,2.43
46,4,2.25
47,1,6.75
47,2,4.88
47,3,2.57
47,4,2.4
48,1,7.28
48,2,4.87
48,3,2.62
48,4,2.5
49,1,7.91
49,2,5
49,3,2.72
49,4,2.65
50,1,8.49
50,2,2.97
50,3,2.84
50,4,2.75
51,1,9.16
51,2,3.13
51,3,3
51,4,2.87
52,1,9.89
52,2,3.32
52,3,3.12
52,4,2.95
53,1,10.3
53,2,3.46
53,3,3.25
53,4,3.08
54,1,11.4
54,2,3.64
54,3,3.4
54,4,3.13
55,1,12.3
55,2,3.78
55,3,3.51
55,4,3.25
56,1,13.2
56,2,3.92
56,3,3.57
56,4,3.32
57,1,14.1
57,2,4.06
57,3,3.68
57,4,3.41
58,1,15.1
58,2,4.21
58,3,3.8
58,4,3.48
59,1,16.2
59,2,4.34
59,3,3.89
59,4,3.6
60,1,17.3
60,2,4.52
60,3,3.97
60,4,3.65
61,1,18.5
61,2,4.67
61,3,4.06
61,4,3.75
62,1,19.7
62,2,4.8
62,3,4.15
62,4,3.86
63,1,21
63,2,4.91
63,3,4.23
63,4,3.91
64,1,22.3
64,2,5.05
64,3,4.32
64,4,4.01
65,1,23.8
65,2,5.19
65,3,4.43
65,4,4.12
66,1,25.2
66,2,5.25
66,3,4.55
66,4,4.17
67,1,26.8
67,2,5.33
67,3,4.66
67,4,4.26
68,1,28.4
68,2,5.43
68,3,4.73
68,4,4.35
69,1,30.1
69,2,5.47
69,3,4.79
69,4,4.48
70,1,31.9
70,2,5.53
70,3,4.82
70,4,4.6
71,1,33.7
71,2,5.54
71,3,4.92
71,4,4.68
72,1,35.7
72,2,5.63
72,3,5.02
72,4,4.8
73,1,37.7
73,2,5.58
73,3,5.15
73,4,4.88
74,1,39.9
74,2,5.61
74,3,5.33
74,4,4.98
75,1,42.1
75,2,6.18
75,3,5.48
75,4,5.04
76,1,44.4
76,2,7.25
76,3,5.59
76,4,5.16
77,1,46.8
77,2,8.3
77,3,5.69
77,4,5.25
78,1,49.3
78,2,9.39
78,3,5.86
78,4,5.31
79,1,52
79,2,10.5
79,3,6
79,4,5.41
80,1,54.6
80,2,11.3
80,3,6.17
80,4,5.5
81,1,57.4
81,2,12
81,3,6.32
81,4,5.65
82,1,60.4
82,2,12.2
82,3,6.48
82,4,5.81
83,1,63.4
83,2,12.4
83,3,6.67
83,4,5.98
84,1,66.6
84,2,12.6
84,3,6.83
84,4,6.13
85,1,69.8
85,2,12.8
85,3,7.01
85,4,6.29
86,1,73.3
86,2,13.1
86,3,7.2
86,4,6.41
87,1,76.8
87,2,13.3
87,3,7.47
87,4,6.65
88,1,80.4
88,2,13.4
88,3,7.68
88,4,6.82
89,1,84.1
89,2,13.6
89,3,7.95
89,4,6.98
90,1,88
90,2,13.7
90,3,8.18
90,4,7.13
91,1,91.9
91,2,14.3
91,3,8.75
91,4,7.33
92,1,96.1
92,2,14
92,3,9.32
92,4,7.43
93,1,100
93,2,14
93,3,9.91
93,4,7.59
94,1,105
94,2,13.5
94,3,10.5
94,4,7.82
95,1,109
95,2,13.3
95,3,10.9
95,4,8.04
96,1,114
96,2,13.6
96,3,11.4
96,4,8.26
97,1,119
97,2,13.8
97,3,11.8
97,4,8.55
98,1,124
98,2,14
98,3,12.2
98,4,8.75
99,1,129
99,2,14.3
99,3,12.7
99,4,9.04
100,1,135
100,2,14.4
100,3,13.1
100,4,9.33
101,1,140
101,2,14.8
101,3,13.6
101,4,9.61
102,1,145
102,2,15.1
102,3,14
102,4,9.9
103,1,150
103,2,15.9
103,3,14.4
103,4,10.1
104,1,156
104,2,16.2
104,3,14.9
104,4,10.5
105,1,162
105,2,16.5
105,3,15.5
105,4,10.8
106,1,168
106,2,16.8
106,3,15.9
106,4,11.2
107,1,174
107,2,17
107,3,16.4
107,4,11.6
108,1,181
108,2,17.2
108,3,17
108,4,12
109,1,187
109,2,17.6
109,3,17.5
109,4,12.3
110,1,193
110,2,18.1
110,3,18.1
110,4,12.7
