A,xsec,density,ev,rc1,rc2,nt,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,P1,P2,P3
1.008,1.67382,8987e-8,41746300,-10519e-8,0,-54423e-8,13.6,,,,,,,,,,,,,,,,,,,,,,,
4.003,6.64714,1664e-7,10512200,-42952e-8,0,-54817e-8,24.6,,,,,,,,,,,,,,,,,,,,,,,
6.941,11.5258,0.533,6062570,-98613e-8,-6e-4,-71131e-8,54.75,5.34,,,,,,,,,,,,,,,,,,,,,,
9.01218,14.9651,1.845,4669270,-0.0017882,-6e-4,-97394e-8,111,8.42,,,,,,,,,,,,,,,,,,,,,,
10.81,17.9504,2.34,3892720,-0.0028487,-0.0012,-0.0012687,188,13.469999999999999,4.7,,,,,,,,,,,,,,,,,,,,,
12.011,19.9447,2.26,3503480,-0.004181,-0.0018,-0.0016442,283.8,19.509999999999998,6.4,,,,,,,,,,,,,,,,,,,,,
14.0067,23.2587,0.001165,3004300,-0.0057982,-0.003,-0.0019191,401.6,26.31,9.2,9.2,,,,,,,,,,,,,,,,,,,,
15.9994,26.5676,0.001331,2630120,-0.0077133,-0.0042,-0.0021944,532,23.7,7.1000000000000005,7.1000000000000005,,,,,,,,,,,,,,,,,,,,
18.9984,31.5476,1.108,2214940,-0.0099395,-0.0054,-0.0023389,685.4,31,8.6,8.6,,,,,,,,,,,,,,,,,,,,
20.179,33.508,8391e-7,2085350,-0.01249,-0.0066,-0.0027186,866.9,45,18.3,18.3,,,,,,,,,,,,,,,,,,,,
22.9898,38.1755,0.969,1830390,-0.015378,-0.0084,-0.0028873,1072.1000000000001,63.3,31.099999999999998,31.099999999999998,,,,,,,,,,,,,,,,,,,,
24.305,40.3594,1.735,1731340,-0.018616,-0.0108,-0.0032502,1305,89.39999999999999,51.4,51.4,,,,,,,,,,,,,,,,,,,,
26.9815,44.8039,2.6941,1559600,-0.022218,-0.0126,-0.0034361,1559.6000000000001,117.7,73.1,73.1,8.37567,,,,,,,,,,,,,,,,,,,
28.0855,46.6371,2.32,1498290,-0.026197,-0.0156,-0.0038284,1838.9,148.7,99.2,99.2,11.357199999999999,5.08305,,,,,,,,,,,,,,,,,,
